epigram_number,greek_text,url
1.1,ἃς οἱ πλάνοι καθεῖλον ἐνθάδ᾽ εἰκόνας ἄνακτες ἐστήλωσαν εὐσεβεῖς πάλιν.,https://anthologiagraeca.org/api/texts/1581/
1.2,"θεῖος Ἰουστῖνος, Σοφίης πόσις, ᾧ πόρε Χριστὸς πάντα διορθοῦσθαι, καὶ κλέος ἐν πολέμοις, μητρὸς ἀπειρογάμοιο δόμον σκάζοντα νοήσας, σαθρὸν ἀποσκεδάσας τεῦξέ μιν ἀσφαλέως.",https://anthologiagraeca.org/api/texts/1627/
1.3,"ὁ πρὶν Ἰουστῖνος περικαλλέα δείματο νηὸν τοῦτον μητρὶ Θεοῦ, κάλλεϊ λαμπόμενον: ὁπχότερος δὲ μετ᾽ αὐτὸν Ἰουστῖνος βασιλεύων κρείσσονα τῆς προτέρης ὤπασεν ἀγλαΐην.",https://anthologiagraeca.org/api/texts/1870/
1.4,"τοῦτον Ἰωάννῃ, Χριστοῦ μεγάλῳ θεράποντι, Στούδιος ἀγλαὸν οἶκον ἐδείματο: καρπαλίμως δὲ τῶν κάμεν εὕρετο μισθόν, ἑλὼν ὑπατηίδα ῥάβδον.",https://anthologiagraeca.org/api/texts/1874/
1.5,"τόνδε Θεῷ κάμες οἶκον, Ἀμάντιε, μεσσόθι πόντου, τοῖς πολυδινήτοις κύμασι μαρνάμενος. οὐ νότος, οὐ βορέης ἱερὸν σέο δῶμα τινάξει, νηῷ θεσπεσίῳ τῷδε φυλασσόμενον. ζώοις ἤματα πολλά: σὺ γὰρ νεοθηλέα Ῥώμην, πόντῳ ἐπαΐξας, θήκαο φαιδροτέρην.",https://anthologiagraeca.org/api/texts/1878/
1.6,Σφωράκιος ποίησε φυγὼν φλόγα μάρτυρι νηόν.,https://anthologiagraeca.org/api/texts/1882/
1.7,"Σφωράκιε, ζώοντι φίλα θρεπτήρια τίνων γήθεεν Ἀντόλιος, σὸς ἀνεψιός: οἰχομένῳ δὲ αἰεί σοι γεραρὴν τελέει χάριν ὥστε καὶ ἄλλην εὗρε, καὶ ἐν νηῷ ς1᾽ ἀνεθήκατο, τὸν κάμες αὐτός.",https://anthologiagraeca.org/api/texts/1886/
1.8,"Χριστὸν παμβασιλῆα φίλοις καμάτοισι γεραίρων τοῦτον Ἰουστινιανὸς ἀγακλέα δείματο νηὸν Πέτρῳ καὶ Παύλῳ: θεράπουσι γὰρ εὖχος ὀπάζων αὐτῷ δή τις ἄνακτι φέρει πολυκυδέα τιμήν, ἐνθάδε καὶ ψυχῇ καὶ ὄμμασι κέρδος ἑτοῖμον εὐχαῖσιν μὲν ἕκαστος ὅ τι χρέος ἐστὶν ἑλέσθω, τερπέσθω δὲ ὁρῶν κάλλος καὶ δώματος αἴγλην.",https://anthologiagraeca.org/api/texts/1890/
1.9,"καὶ τόδε σῶν καμάτων παναοίδιμον ἔργον ἐτύχθη, Γερράδιε κλυτόμητι: σὺ γὰρ περικαλλέα νηὸν ἀγγελικῆς στρατιῆς σημάντορος αὖτις ἔδειξας.",https://anthologiagraeca.org/api/texts/2227/
1.10,"Εὐδοκίη μὲν ἄνασσα Θεὸν σπεύδουσα γεραίρειν, πρώτη νηὸν ἔτευξε θεοφραδέος Πολυεύκτου ἀλλ᾽ οὐ τοῖον ἔτευξε καὶ οὐ τόσον οὔ τινι φειδοῖ, οὐ κτεάτων χατέουσα — τίνος βασίλεια χατίζει; — ἀλλ᾽ ὡς θυμὸν ἔχουσα θεοπρόπον, ὅττι γενέθλην καλλείψει δεδαυῖαν ἀμείνονα κόσμον ὀπάζειν. ἔνθεν Ἰουλιανή, ζαθέων ἀμάρυγμα τοκήων, τέτρατον ἐκ κείνων βασιλήιον αἷμα λαχοῦσα, ἐλπίδας οὐκ ἔψευσεν ἀριστώδινος ἀνάσσης: ἀλλά μιν ἐκ βαιοῖο μέγαν καὶ τοῖον ἐγείρει, κῦδος ἀεξήσασα πολυσκήπτρων γενετήρων πάντα γὰρ ὅσσα τέλεσσεν ὑπέρτερα τεῦξε τοκήων, ὀρθὴν πίστιν ἔχουσα φιλοχρίστοιο μενοινῆς. τίς γὰρ Ἰουλιανὴν οὐκ ἔκλυεν, ὅττι καὶ αὐτοὺς εὐκαμάτοις ἔργοισιν ἑοὺς φαίδρυνε τοκῆας, εὐσεβίης ἀλέγουσα; μόνη δ᾽ ἱδρῶτι δικαίῳ ἄξιον οἶκον ἔτευξεν ἀειζώῳ Πολυεύκτῳ. καὶ γὰρ ἀεὶ δεδάηκεν ἀμεμφέα δῶρα κομίζειν πᾶσιν ἀεθλητῆρσιν ἐπουρανίου βασιλῆος. πᾶσα χθὼν βοάᾳ, πᾶσα πτόλις, ὅττι τοκῆας φαιδροτέρους ποίησεν ἀρειοτέροισιν ἐπ᾽ ἔργοις, ποῦ γὰρ Ἰουλιανὴν ἁγίοις οὐκ ἔστιν ἰδέσθαι νηὸν ἀναστήσασαν ἀγακλέα; ποῦ σέο μούνης εὐσεβέων οὐκ ἔστιν ἰδεῖν σημήια χειρῶν; ποῖος δ᾽ ἔπλετο χῶρος, ὃς οὐ μάθε σεῖο μενοινὴν εὐσεβίης πλήθουσαν; ὅλης χθονὸς ἐνναετῆρες σοὺς καμάτους μέλπουσιν ἀειμνήστους γεγαῶτας. ἔργα γὰρ εὐσεβίης οὐ κρύπτεται: οὐ γὰρ ἀέθλους λήθη ἀποσβέννυσιν ἀριστοπόνων ἀρετάων. ὅσσα δὲ σὴ παλάμη θεοπειθέα δώματα τεύχει οὐδ᾽ αὐτὴ δεδάηκας: ἀμετρήτους γάρ, ὀίω, μούνη σὺ ξύμπασαν ἀνὰ χθόνα δείμαο ναούς, οὐρανίου θεράποντας ἀεὶ τρομέουσα Θεοῖο. ἴχνεσι δ᾽ εὐκαμάτοισιν ἐφεσπομένη γενετήρων πᾶσιν, ἀειζώουσαν ἑὴν τεκτήνατο φύτλην, εὐσεβίης ξύμπασαν ἀεὶ πατέουσα πορείην. τοὔνεκά μιν θεράποντες ἐπουρανίου βασιλῆος, ὅσσοις δῶρα δίδωσιν, ὅσοις δωμήσατο νηούς, προφρονέως ἐρύεσθε σὺν υἱέι, τοῖό τε κούραις: μίμνοι δ᾽ ἄσπετον εὖχος ἀριστοπόνοιο γενέθλης, εἰσόκεν ἠέλιος πυριλαμπέα δίφρον ἐλαύνει.",https://anthologiagraeca.org/api/texts/1894/
1.11,"τοῖς σοῖς θεράπουσιν ἡ θεράπαινα προσφέρω σοφία τὸ δῶρον. χριστέ, προσδέχου τὰ σά, καὶ τῷ βασιλεῖ μου μισθὸν Ἰουστίνῳ δίδου, νίκας ἐπὶ νίκαις κατὰ νόσων καὶ βαρβάρων.",https://anthologiagraeca.org/api/texts/1898/
1.12,"εἰμὶ δόμος Τριάδος, τρισσὴ δέ με τεῦξε γενέθλη: πρώτη μὲν πολέμους καὶ βάρβαρα φῦλα φυγοῦσα τεύξατο καὶ μ᾽ ἀνέθηκε Θεῷ ζωάγρια μόχθων Θευδοσίου θυγάτηρ Εὐδοξία: ἐκ δέ με κείνης Πλακιδίη κόσμησε σὺν ὀλβίστῳ παρακοίτῃ:᾿: εἰ δέ που ἀγλαΐης ἐπεδεύετο κάλλος ἐμεῖο, τὴν δέ μοι ὀλβιόδωρος ὑπὲρ μνήμης γενετήρων δῶκεν Ἰουλιανή, καὶ ὑπέρτατον ὤπασε κῦδος μητέρι καὶ γενέτῃ καὶ ἀγακλέι μητρὶ τεκούσης, κόσμον ἀεξήσασα παλαίτερον. ὧδ᾽ ἐμὸν ἔργον.",https://anthologiagraeca.org/api/texts/1902/
1.13,κάλλος ἔχον καὶ πρόσθεν ἐπήρατον ἀλλ᾽ ἐπὶ μορφῇ τῇ πρὶν ἀρειοτέρην νῦν λάχον ἀγλαΐην.,https://anthologiagraeca.org/api/texts/1906/
1.14,"οὕτω γῆρας ἐμὸν μετὰ μητέρα καὶ μετὰ τηθὴν ξῦσεν Ἰουλιανή, καὶ νέον ἄνθος ἔχω.",https://anthologiagraeca.org/api/texts/1910/
1.15,"ἦν ἄρα καὶ κάλλους ἔτι κάλλιον εὖτ᾽ ἐμὸν ἔργον, καὶ πρὶν ἐὸν περίπυστον, ἀοίδιμον ἐς χθόνα πᾶσαν, ἀγλαΐης προτέρης ἐς ὑπέρτερον ἤγαγε κάλλος τόσσον Ἰουλιανή, ὅσον ἄστρασιν ἀντιφερίζειν.",https://anthologiagraeca.org/api/texts/1914/
1.16,"αὐτὴν ἐργοπόνοισιν ἐπιπνείουσαν ἀρωγὴν εἶχεν Ἰουλιανὴ μάρτυρα νηοπόλον οὔποτε γὰρ τοῖόν τε τόσον τ᾽ εὐδαίδαλον ἔργον ἤνυσεν, οὐρανίης ἔμπλεον ἀγλαΐης.",https://anthologiagraeca.org/api/texts/1918/
1.17,"οὐκέτι θαυμάζεις προτέρων κλέος: οὐ διὰ τέχνης εὖχος ἐν ὀψιγόνοις λίπον ἄσπετον, ὁσσάτιόν περ κῦδος Ἰουλιανῆς πινυτόφρονος, ἣ χάριν ἔργων ἀρχεγόνων νίκησε νοήματα πάνσοφα φωτῶν.",https://anthologiagraeca.org/api/texts/1922/
1.18,τῆς ἀγαθῆς ἀγαθὸς μὲν ἐγὼ κύκλος Ἀγαθονίκης ἄνθετο δ᾽ ἀχράντῳ μάρτυρί με Τροφίμῳ.,https://anthologiagraeca.org/api/texts/1926/
1.19,"πυρὸς ἀενάοιο σοφὴν ὠδῖνα φυλάσσων, ἐμβεβαὼς κόσμοιο παλινδίνητον ἀνάγκην, χριστέ, θεορρήτοιο βίου φυσίζοε πηγή, πατρὸς ἀσημάντοιο Θεοῦ πρωτόσπορε φωνή, ὃς μετὰ μητρῴων τοκετῶν ἐγκύμονα φόρτον καὶ γόνον αὐτοτέλεστον ἀνυμφεύτων ὑμεναίων στήσας Ἀσσυρίης γενεῆς ἑτερόφρονα λύσσαν, ὄργια δ᾽ εἰδώλων κενεῶν ψευδώνυμα λύσας, αἰθέρος ἀμφιβέβηκας ἐφ᾽ ἑπτάζωνον ὀχῆα, ἀγγελικαῖς πτερύγεσσιν ἐν ἀρρήτοισι θαάσσων ἵλαθι, παγγενέταο Θεοῦ πρεσβήιον ὄμμα, φρουρὲ βίου, σῶτερ μερόπων, αἰῶνος ἀνάσσων.",https://anthologiagraeca.org/api/texts/1930/
1.20,"Ἀρτιφανές, πολοοῦχε, παλαιγενές, υἱὲ νεογνέ, αἰὲν ἐὼν προεών τε, ὑπέρτατε, ὕστατε, Χριστέ, ἀθανάτοιο πατρός τε ὁμόχρονε, πάμπαν ὁμοῖε.",https://anthologiagraeca.org/api/texts/1937/
